15327700	MATCH	35	2	336
15327701	MATCH	100	1	201
15327702	MATCH	65	1	3381
15327703	otherconfig	29	2	282
15327704	MATCH	33	2	1197
15327705	MATCH	17	1	1328
15327706	MATCH	100	2	4303
15327707	MATCH	13	2	556
15327708	MATCH	12	2	799
15327709	MATCH	15	1	1009
15327710	otherconfig	18	1	798
15327711	MATCH	15	1	219
15327712	MATCH	25	1	594
15327713	MATCH	30	1	383
15327714	MATCH	46	2	552
15327715	MATCH	20	1	209
15327716	MATCH	60	2	545
15327717	MATCH	40	1	1150
15327718	MATCH	41	2	492
15327719	MATCH	25	1	586
15327720	MATCH	16	1	313
15327721	MATCH	26	1	257
15327722	MATCH	12	1	528
15327723	MATCH	26	1	401
15327724	MATCH	16	1	300
15327725	MATCH	15	1	221
15327726	MATCH	26	1	400
15327727	MATCH	26	1	309
15327728	MATCH	60	1	1399
15327729	MATCH	26	1	266
15327730	MATCH	15	1	145
15327731	MATCH	17	1	329
15327732	MATCH	36	1	573
15327733	MATCH	65	1	539
15327734	MATCH	17	1	329
15327735	MATCH	46	2	566
15327736	MATCH	77	2	956
15327737	MATCH	31	2	371
15327738	MATCH	31	1	289
15327739	MATCH	30	1	395
15327740	MATCH	16	1	407
15327741	MATCH	46	2	560
15327742	MATCH	16	1	277
15327743	MATCH	56	2	686
15327744	MATCH	31	1	289
15327745	MATCH	31	1	289
15327746	MATCH	31	1	445
15327747	MATCH	10	1	357
15327748	MATCH	12	1	205
15327749	MATCH	35	1	441
15327750	otherconfig	100	1	2188
15327751	MATCH	16	1	286
15327752	MATCH	17	2	207
15327753	MATCH	32	1	447
15327754	MATCH	35	1	441
15327755	otherconfig	41	2	1595
15327756	MATCH	30	1	383
15327757	MATCH	16	2	170
15327758	otherconfig	15	1	1002
15327759	MATCH	10	1	277
15327760	MATCH	65	1	3465
15327761	MATCH	46	2	547
15327762	MATCH	40	2	564
15327763	otherconfig	86	2	2158
15327764	MATCH	23	1	856
15327765	MATCH	21	2	235
15327766	MATCH	27	1	406
15327767	otherconfig	21	2	1428
15327768	MATCH	41	2	1786
15327769	MATCH	100	2	2858
15327770	MATCH	62	2	3612
15327771	MATCH	17	2	356
15327772	MATCH	24	2	622
15327773	MATCH	92	2	4129
15327774	MATCH	30	1	1155
15327775	MATCH	57	1	1923
15327776	MATCH	35	1	1457
15327777	MATCH	39	1	1543
15327778	MATCH	14	1	763
15327779	MATCH	12	1	656
15327780	MATCH	16	1	854
15327781	MATCH	21	1	551
15327782	MATCH	41	1	1931
15327783	MATCH	58	2	2713
15327784	MATCH	15	2	527
15327785	MATCH	11	2	518
15327786	MATCH	44	2	973
15327787	MATCH	20	2	737
15327788	MATCH	58	1	3448
15327789	MATCH	100	2	5539
15327790	MATCH	22	1	579
15327791	MATCH	20	2	301
15327792	MATCH	61	1	4006
15327793	MATCH	14	1	290
15327794	MATCH	31	1	1302
15327795	MATCH	100	1	7366
15327796	MATCH	15	2	228
15327797	MATCH	35	2	390
15327798	MATCH	22	1	1014
15327799	MATCH	32	2	1815
15327800	MATCH	64	2	1543
15327801	MATCH	64	1	3222
15327802	MATCH	11	1	217
15327803	MATCH	16	2	225
15327804	MATCH	18	1	281
15327805	MATCH	16	2	175
15327806	MATCH	25	2	402
15327807	MATCH	20	2	424
15327808	MATCH	60	1	1973
15327809	MATCH	7	1	335
15327810	MATCH	11	1	330
15327811	MATCH	34	2	1998
15327812	MATCH	12	1	284
15327813	MATCH	29	2	877
15327814	MATCH	20	1	674
15327815	MATCH	24	2	1587
15327816	MATCH	86	2	2426
15327817	MATCH	16	1	491
15327818	MATCH	20	1	693
15327819	MATCH	29	2	826
15327820	MATCH	25	2	1340
15327821	MATCH	13	2	639
15327822	MATCH	25	2	489
15327823	MATCH	100	1	1699
15327824	MATCH	13	2	687
15327825	MATCH	13	2	705
15327826	MATCH	43	1	2228
15327827	MATCH	11	1	263
15327828	MATCH	25	1	909
15327829	MATCH	8	1	242
15327830	MATCH	11	1	269
15327831	MATCH	24	1	249
15327832	MATCH	12	2	277
15327833	MATCH	33	1	363
15327834	MATCH	9	1	1015
15327835	MATCH	12	1	279
15327836	MATCH	24	1	249
15327837	MATCH	11	1	323
15327838	MATCH	18	1	809
15327839	MATCH	12	2	277
15327840	MATCH	17	2	297
15327841	MATCH	24	1	249
15327842	MATCH	32	1	743
15327843	MATCH	100	2	6316
15327844	MATCH	78	2	2933
15327845	MATCH	9	1	204
15327846	MATCH	26	1	784
15327847	MATCH	11	1	241
15327848	MATCH	25	1	540
15327849	MATCH	21	1	368
15327850	MATCH	25	1	338
15327851	MATCH	16	2	250
15327852	MATCH	24	1	904
15327853	MATCH	74	1	4350
15327854	MATCH	100	2	5212
15327855	MATCH	10	1	107
15327856	MATCH	65	1	3360
15327857	MATCH	20	1	537
15327858	MATCH	65	1	545
15327859	MATCH	41	2	490
15327860	MATCH	10	1	107
15327861	MATCH	65	1	3262
15327862	MATCH	28	2	2086
15327863	MATCH	18	2	153
15327864	MATCH	53	1	4324
15327865	MATCH	40	1	1144
15327866	MATCH	20	1	1394
15327867	MATCH	15	1	373
15327868	MATCH	31	2	2215
15327869	MATCH	57	1	3164
15327870	MATCH	60	1	463
15327871	MATCH	100	2	5212
15327872	MATCH	15	1	145
15327873	MATCH	25	1	461
15327874	MATCH	50	1	443
15327875	MATCH	45	1	509
15327876	MATCH	71	1	3456
15327877	MATCH	20	1	210
15327878	MATCH	18	2	1135
15327879	MATCH	18	2	294
15327880	MATCH	50	1	598
15327881	MATCH	47	2	563
15327882	MATCH	34	2	2116
15327883	MATCH	20	1	325
15327884	otherconfig	59	2	1668
15327885	MATCH	26	1	307
15327886	MATCH	12	1	560
15327887	MATCH	27	1	394
15327888	MATCH	16	1	283
15327889	otherconfig	19	1	911
15327890	MATCH	26	1	401
15327891	MATCH	11	1	208
15327892	MATCH	31	1	441
15327893	MATCH	36	1	573
15327894	MATCH	33	1	574
15327895	MATCH	33	1	443
15327896	MATCH	17	1	329
15327897	MATCH	15	1	117
15327898	MATCH	17	1	329
15327899	MATCH	31	1	289
15327900	MATCH	27	1	452
15327901	MATCH	80	1	4445
15327902	MATCH	33	1	846
15327903	MATCH	42	1	1154
15327904	MATCH	35	2	335
15327905	MATCH	26	1	309
15327906	MATCH	11	1	113
15327907	MATCH	31	1	289
15327908	MATCH	15	1	375
15327909	MATCH	47	1	559
15327910	MATCH	26	1	266
15327911	MATCH	30	1	367
15327912	MATCH	42	1	464
15327913	MATCH	46	2	548
15327914	MATCH	20	1	209
15327915	MATCH	41	2	686
15327916	MATCH	17	1	308
15327917	MATCH	37	1	407
15327918	MATCH	15	1	167
15327919	MATCH	76	1	868
15327920	MATCH	25	1	607
15327921	MATCH	77	1	956
15327922	MATCH	77	1	773
15327923	MATCH	60	1	513
15327924	MATCH	71	2	597
15327925	MATCH	46	2	553
15327926	MATCH	30	1	365
15327927	MATCH	71	2	813
15327928	MATCH	40	1	461
15327929	MATCH	76	2	878
15327930	MATCH	41	2	490
15327931	MATCH	46	2	565
15327932	otherconfig	46	1	1212
15327933	MATCH	15	1	173
15327934	otherconfig	73	1	3479
15327935	otherconfig	35	1	1205
15327936	MATCH	100	2	5266
15327937	MATCH	13	1	505
15327938	MATCH	100	1	4033
15327939	MATCH	100	2	4528
15327940	MATCH	72	1	2042
15327941	MATCH	74	1	3292
15327942	MATCH	44	2	1514
15327943	MATCH	71	1	2227
15327944	MATCH	40	1	525
15327945	MATCH	20	1	525
15327946	MATCH	30	1	365
15327947	MATCH	30	1	341
15327948	MATCH	51	2	608
15327949	MATCH	61	2	744
15327950	MATCH	25	1	268
15327951	MATCH	30	1	322
15327952	MATCH	15	1	201
15327953	MATCH	20	1	317
15327954	MATCH	57	2	712
15327955	MATCH	65	1	747
15327956	MATCH	7	1	300
15327957	MATCH	24	1	693
15327958	MATCH	8	1	243
15327959	MATCH	9	1	269
15327960	MATCH	95	1	3354
15327961	MATCH	20	1	496
15327962	MATCH	15	1	180
15327963	MATCH	46	2	587
15327964	MATCH	40	1	1158
15327965	MATCH	45	1	520
15327966	MATCH	25	1	271
15327967	MATCH	30	1	330
15327968	MATCH	20	1	318
15327969	MATCH	15	1	200
15327970	MATCH	52	2	625
15327971	MATCH	37	2	423
15327972	MATCH	46	2	558
15327973	MATCH	0	2	3
15327974	MATCH	0	2	3
15327975	MATCH	0	2	3
15327976	MATCH	0	2	3
15327977	MATCH	17	1	405
15327978	MATCH	0	2	3
15327979	MATCH	36	1	498
15327980	MATCH	0	2	3
15327981	MATCH	30	1	388
15327982	MATCH	33	1	846
15327983	otherconfig	66	2	1734
15327984	MATCH	36	1	485
15327985	MATCH	33	1	443
15327986	MATCH	0	2	3
15327987	MATCH	62	1	637
15327988	MATCH	0	2	3
15327989	MATCH	33	1	574
15327990	MATCH	0	2	3
15327991	MATCH	0	2	3
15327992	MATCH	49	1	554
15327993	MATCH	0	2	3
15327994	MATCH	19	1	331
15327995	MATCH	19	1	331
15327996	MATCH	56	2	645
15327997	MATCH	62	1	698
15327998	MATCH	56	2	645
15327999	MATCH	56	2	645
15328000	MATCH	23	1	335
15328001	MATCH	11	1	85
15328002	MATCH	16	1	663
15328003	MATCH	16	1	189
15328004	MATCH	16	1	216
15328005	MATCH	21	1	265
15328006	MATCH	21	2	326
15328007	MATCH	43	2	5159
15328008	MATCH	51	1	1678
15328009	MATCH	26	1	324
15328010	MATCH	100	1	2047
15328011	MATCH	16	1	317
15328012	MATCH	21	1	1341
15328013	MATCH	56	1	790
15328014	MATCH	40	2	3223
15328015	MATCH	21	2	432
15328016	MATCH	31	1	929
15328017	MATCH	27	1	803
15328018	MATCH	26	2	1945
15328019	MATCH	19	2	205
15328020	MATCH	100	2	9617
15328021	MATCH	61	1	3326
15328022	MATCH	100	1	3416
15328023	MATCH	65	1	1630
15328024	MATCH	10	1	825
15328025	MATCH	12	1	591
15328026	MATCH	35	2	1053
15328027	MATCH	11	1	438
15328028	MATCH	21	1	979
15328029	MATCH	23	1	539
15328030	MATCH	100	2	2598
15328031	MATCH	5	2	484
15328032	MATCH	12	2	768
15328033	MATCH	20	1	502
15328034	MATCH	5	2	616
15328035	MATCH	5	2	616
15328036	MATCH	5	2	616
15328037	MATCH	7	2	446
15328038	otherconfig	31	1	1578
15328039	otherconfig	37	2	2717
15328040	MATCH	100	1	10521
15328041	MATCH	36	2	1216
15328042	MATCH	0	2	3
15328043	MATCH	14	2	254
15328044	MATCH	0	2	3
15328045	MATCH	0	2	3
15328046	MATCH	0	2	3
15328047	MATCH	0	2	3
15328048	MATCH	0	2	3
15328049	otherconfig	21	2	1363
15328050	otherconfig	11	2	663
15328051	MATCH	100	1	4557
15328052	otherconfig	11	2	692
15328053	MATCH	100	2	6880
15328054	MATCH	13	1	608
15328055	MATCH	89	2	10976
15328056	MATCH	76	2	3361
15328057	MATCH	69	1	1081
15328058	MATCH	100	1	9769
15328059	MATCH	57	1	1875
15328060	MATCH	21	2	217
15328061	MATCH	100	1	1717
15328062	MATCH	66	2	1593
15328063	MATCH	57	2	1104
15328064	MATCH	29	1	888
15328065	MATCH	10	1	1170
15328066	MATCH	15	1	174
15328067	MATCH	91	2	2797
15328068	MATCH	21	1	282
15328069	MATCH	100	2	570
15328070	MATCH	17	2	747
15328071	MATCH	100	2	1119
15328072	MATCH	15	1	504
15328073	MATCH	34	2	536
15328074	MATCH	100	2	799
15328075	MATCH	50	1	664
15328076	MATCH	37	2	2217
15328077	MATCH	46	2	549
15328078	MATCH	31	1	1915
15328079	MATCH	25	1	589
15328080	MATCH	100	1	4228
15328081	MATCH	46	2	599
15328082	MATCH	100	2	1129
15328083	MATCH	15	1	183
15328084	MATCH	46	2	576
15328085	MATCH	100	2	7631
15328086	MATCH	40	1	529
15328087	MATCH	100	2	2400
15328088	MATCH	28	1	1626
15328089	MATCH	38	1	2165
15328090	MATCH	26	2	1940
15328091	MATCH	100	2	8090
15328092	MATCH	27	1	827
15328093	MATCH	28	2	1084
15328094	MATCH	79	2	4398
15328095	MATCH	19	2	502
15328096	MATCH	100	1	1852
15328097	MATCH	15	1	585
15328098	MATCH	34	1	3402
15328099	MATCH	71	2	7561
15328100	MATCH	100	2	551
15328101	MATCH	34	1	3803
15328102	MATCH	100	2	4264
15328103	otherconfig	39	1	1647
15328104	MATCH	50	1	642
15328105	MATCH	100	2	697
15328106	MATCH	20	1	536
15328107	MATCH	30	1	371
15328108	MATCH	45	1	519
15328109	MATCH	100	2	848
15328110	MATCH	43	2	391
15328111	MATCH	20	1	239
15328112	MATCH	30	2	1386
15328113	MATCH	35	1	1662
15328114	MATCH	52	2	605
15328115	MATCH	25	2	652
15328116	MATCH	20	1	265
15328117	MATCH	23	1	1177
15328118	MATCH	100	2	2656
15328119	MATCH	30	2	380
15328120	MATCH	20	1	202
15328121	MATCH	65	1	774
15328122	MATCH	100	1	5259
15328123	MATCH	36	2	502
15328124	MATCH	40	1	457
15328125	MATCH	71	1	2301
15328126	MATCH	100	1	1157
15328127	MATCH	45	2	2763
15328128	MATCH	13	2	612
15328129	MATCH	70	1	2587
15328130	MATCH	14	1	264
15328131	MATCH	31	1	538
15328132	MATCH	35	2	523
15328133	MATCH	32	2	544
15328134	MATCH	80	2	4421
15328135	MATCH	19	1	536
15328136	otherconfig	62	2	2831
15328137	MATCH	100	2	6880
15328138	MATCH	100	1	2319
15328139	MATCH	56	1	2983
15328140	MATCH	16	1	313
15328141	MATCH	81	2	3658
15328142	MATCH	30	1	241
15328143	MATCH	57	1	1887
15328144	MATCH	30	1	241
15328145	MATCH	80	1	5008
15328146	MATCH	33	1	369
15328147	MATCH	16	1	313
15328148	MATCH	13	1	144
15328149	MATCH	32	1	427
15328150	MATCH	99	1	3231
15328151	MATCH	28	1	381
15328152	MATCH	17	1	736
15328153	MATCH	42	1	1029
15328154	MATCH	32	2	494
15328155	MATCH	26	2	328
15328156	MATCH	14	1	115
15328157	MATCH	28	1	270
15328158	MATCH	38	2	455
15328159	MATCH	35	1	351
15328160	MATCH	37	2	589
15328161	MATCH	21	1	293
15328162	MATCH	84	1	2569
15328163	MATCH	100	2	741
15328164	MATCH	16	1	313
15328165	MATCH	22	1	338
15328166	MATCH	42	1	437
15328167	MATCH	15	2	144
15328168	MATCH	42	1	424
15328169	MATCH	57	1	2760
15328170	MATCH	42	1	509
15328171	MATCH	10	1	179
15328172	MATCH	72	1	850
15328173	MATCH	43	2	593
15328174	MATCH	100	2	6847
15328175	MATCH	42	1	510
15328176	MATCH	27	1	272
15328177	MATCH	35	1	334
15328178	MATCH	76	2	882
15328179	MATCH	49	1	530
15328180	MATCH	26	1	214
15328181	otherconfig	55	1	1712
15328182	MATCH	30	1	241
15328183	MATCH	20	2	263
15328184	MATCH	71	2	823
15328185	otherconfig	34	1	1063
15328186	MATCH	28	1	270
15328187	MATCH	28	1	265
15328188	MATCH	40	2	602
15328189	MATCH	28	1	276
15328190	MATCH	37	1	407
15328191	otherconfig	100	1	4371
15328192	otherconfig	76	1	2323
15328193	MATCH	17	1	156
15328194	MATCH	17	1	1066
15328195	MATCH	17	1	267
15328196	MATCH	32	1	401
15328197	MATCH	21	1	1426
15328198	MATCH	29	2	1465
15328199	MATCH	28	1	670
15328200	MATCH	29	2	759
15328201	MATCH	13	1	143
15328202	MATCH	16	2	200
15328203	MATCH	65	2	718
15328204	MATCH	11	1	221
15328205	MATCH	100	1	351
15328206	MATCH	27	1	572
15328207	MATCH	25	2	349
15328208	MATCH	17	1	476
15328209	otherconfig	51	2	1784
15328210	MATCH	100	1	728
15328211	otherconfig	41	2	1712
15328212	MATCH	50	2	597
15328213	MATCH	100	1	1161
15328214	MATCH	53	2	527
15328215	MATCH	100	1	1060
15328216	MATCH	66	2	535
15328217	MATCH	100	1	4179
15328218	MATCH	100	1	1529
15328219	MATCH	23	1	566
15328220	MATCH	15	1	480
15328221	MATCH	100	1	1341
15328222	MATCH	21	1	351
15328223	MATCH	16	1	279
15328224	MATCH	17	1	268
15328225	MATCH	12	1	277
15328226	MATCH	37	1	462
15328227	MATCH	67	1	843
15328228	MATCH	16	2	313
15328229	MATCH	76	2	892
15328230	MATCH	15	1	203
15328231	MATCH	41	2	430
15328232	MATCH	67	1	843
15328233	MATCH	25	1	375
15328234	MATCH	77	2	905
15328235	MATCH	19	2	331
15328236	MATCH	67	1	843
15328237	MATCH	17	1	263
15328238	MATCH	100	2	2995
